#{"t_start": 1746453938.0462713, "env_id": "gymnasium_env/BallBeamWorld-v0"}
r,l,t
-205.305351,162,1.116698
-231.174043,182,1.512311
-207.801968,230,2.304613
-245.395534,176,2.779459
-191.540543,164,3.358119
-227.351801,214,3.760757
-209.1321,163,4.352834
-237.606338,176,4.735587
-219.336568,268,5.411225
-210.372986,218,6.049036
-215.950039,152,6.466281
-204.433511,154,6.940861
-186.771388,130,7.285268
-193.439296,133,7.605524
-227.027183,190,8.190082
-300.034983,294,8.843679
-307.168422,201,9.459191
-325.107336,202,9.881321
-182.478848,164,10.219411
-299.163992,246,10.826568
-283.334369,170,11.361723
-265.125284,200,11.895952
-277.333926,196,12.460924
-271.578436,203,12.841001
-242.721525,165,13.360414
-312.141709,189,13.712888
-195.615987,175,14.045169
-192.190369,264,14.827126
-403.065242,250,15.221891
-375.543379,203,15.757193
-165.407275,149,16.065666
-156.457281,112,16.343714
-359.682905,340,17.249536
-455.583195,304,17.869969
-146.169935,114,18.150275
-451.131648,274,18.760433
-118.980449,130,19.056816
-140.937118,104,19.331422
-135.304368,96,19.598167
-520.866752,377,20.476878
-145.39674,108,20.749687
-284.735263,205,21.185296
-244.441025,191,21.724306
-481.963539,358,22.406986
-120.524908,119,22.697593
-132.345118,117,22.992542
-133.877211,101,23.288127
-138.166296,134,23.622312
-116.794385,122,23.913527
-112.857909,119,24.201223
-117.707802,121,24.49501
-137.004297,126,24.795147
-125.428924,108,25.072031
-171.17382,136,25.374447
-124.055959,104,25.939228
-126.719992,97,26.030132
-124.81313,104,26.312598
-152.266659,127,26.658202
-124.665419,116,27.021856
-123.940518,114,27.46581
-115.113569,112,27.795383
-118.047007,112,28.091703
-112.525587,116,28.392464
-145.362501,104,28.479466
-140.596887,112,28.777709
-105.106074,110,29.070165
-150.311806,107,29.351965
-126.539888,116,29.640908
-160.650645,125,29.941698
-181.011317,126,30.239419
-183.919979,131,30.565488
-135.19394,120,31.004584
-120.06453,120,31.317923
-115.179252,135,31.637815
-143.133331,136,31.987706
-225.207572,162,32.368195
-142.176548,126,32.690446
-176.412925,160,33.034562
-115.206525,145,33.625768
-180.59285,151,34.004137
-252.499188,165,34.409918
-237.672623,204,34.981598
-82.858657,400,35.921514
-183.302008,268,36.541381
-218.299703,196,36.911912
-327.419292,211,37.657969
-255.645188,232,38.287371
-248.0885,223,38.87472
-177.553377,251,39.484918
-297.447854,208,39.848548
-436.108506,286,40.468011
-149.554166,173,40.995142
-209.651096,222,41.373142
-236.973015,214,41.967196
-150.620381,239,42.614487
-333.076267,325,43.534928
-170.321091,242,43.938052
-155.808234,251,44.541201
-121.423988,184,45.087292
-140.233374,149,45.404756
-219.172767,254,46.008451
-187.310701,248,46.607416
-255.689065,311,47.348318
-212.491996,281,48.206703
-305.545057,226,48.605324
-154.639699,280,49.431329
-133.706694,291,50.09184
-210.375542,290,50.806503
-160.957002,320,52.518894
-194.554277,264,53.138947
-293.058168,246,53.734059
-116.70186,400,54.704941
-192.294282,256,55.309511
-134.176354,313,55.952128
-144.98292,282,56.570034
-7.388142,400,57.492134
-157.30662,345,58.361925
-267.057922,252,58.966219
-260.533495,227,59.551878
-135.687925,264,60.198742
-276.140826,238,60.803872
-130.374343,278,61.424428
-162.046407,262,62.041874
-175.639549,267,62.659102
-139.293432,321,63.498708
-189.499357,256,64.099072
-321.732913,301,64.732127
-119.201924,400,65.634571
-197.394779,270,66.258023
-146.760077,400,67.173017
-249.273924,396,68.094131
-481.813656,348,68.967418
-283.24998,400,69.896343
-187.587473,269,70.506602
-187.659543,400,71.411975
-165.586445,265,72.229798
-134.322298,271,72.918801
-172.654068,268,73.525872
-187.648146,400,74.439732
-301.258704,387,75.390817
-136.43937,274,76.578164
-192.069173,400,77.489313
-241.695618,379,78.380049
-303.627669,392,79.288706
-186.065376,258,79.890479
-192.195121,244,80.480227
-239.003478,233,81.06613
-130.174225,400,81.99858
-148.886147,400,82.915963
-68.187667,400,83.829461
-5.181763,400,84.735175
-198.829561,279,85.538237
-206.924579,261,86.146071
-142.811697,400,87.04799
0.269349,400,87.964844
-19.65393,400,88.882752
-48.74885,400,89.791997
-59.300902,400,90.711037
-124.110169,400,91.637736
-243.708312,374,92.525678
-51.562476,400,93.517378
-2.916184,400,94.627648
-20.446955,400,95.550412
-51.819202,400,96.479361
4.009312,400,97.388947
-10.129167,400,98.322773
-235.837456,388,99.224987
-80.062021,400,100.886145
-67.383986,400,101.788739
1.385428,400,102.7073
-76.425522,400,103.824701
-114.046938,400,104.750367
-11.196897,400,105.678311
2.773746,400,106.60224
-18.469878,400,107.507841
-110.776994,400,108.429967
-236.619084,397,109.344605
2.724914,400,110.262823
-2.403973,400,111.376112
-28.951585,400,112.345149
-17.560236,400,113.25718
13.851089,400,114.171927
16.388027,400,115.091772
-39.181427,400,116.058958
32.043498,400,116.97713
-32.944783,400,117.893502
30.188446,400,119.029835
8.322252,400,119.967099
8.189316,400,120.876595
-39.829469,400,121.777624
-29.195916,400,122.683699
-38.308788,400,123.610435
-10.488797,400,125.292941
-69.384857,400,126.201406
10.049551,400,127.307937
-25.11498,400,128.239093
-56.573871,400,129.165259
13.490549,400,130.096097
22.083351,400,131.001108
4.890536,400,131.908272
6.191869,400,132.821739
5.487654,400,133.742705
-31.207444,400,134.847366
30.786589,400,135.776612
28.086735,400,136.685314
-39.68317,400,137.648851
-67.983586,400,138.568488
-42.290317,400,139.491188
26.37684,400,140.404094
-42.274671,400,141.315908
21.609726,400,142.433514
-29.907881,400,143.347558
59.800489,400,144.283258
5.282048,400,145.198241
53.24592,400,146.10912
46.339195,400,147.012521
47.730865,400,147.918596
32.852762,400,149.576401
32.196721,400,150.693646
47.570904,400,151.601231
52.897491,400,152.526269
34.740132,400,153.442841
3.5943,400,154.370415
568.370853,392,155.286075
530.874602,389,156.2045
553.82221,387,157.119687
30.021037,400,158.049374
554.98354,386,158.959491
565.341261,390,159.874873
61.284709,400,161.061441
61.149352,400,161.989219
566.615548,397,162.902085
527.839973,399,163.826864
42.581295,400,164.756463
52.669528,400,165.670083
-12.187152,400,166.643497
50.533726,400,167.569874
17.836345,400,168.496812
52.428566,400,169.610736
71.876353,400,170.535729
-25.842199,400,171.448992
1.400923,400,172.370898
8.394552,400,174.029482
27.267981,400,174.935748
19.849054,400,175.841425
-148.243636,329,176.687956
-91.050141,400,177.603534
-30.424378,400,178.530771
