#{"t_start": 1746453938.0481665, "env_id": "gymnasium_env/BallBeamWorld-v0"}
r,l,t
-223.889572,177,1.12826
-208.538867,177,1.520643
-195.917035,192,2.268897
-170.228833,133,2.694284
-173.203847,206,3.132816
-203.563348,158,3.671396
-223.118421,160,4.043244
-245.491171,168,4.448191
-202.255418,147,4.783966
-207.892614,154,5.356239
-200.724792,168,5.724043
-201.441289,210,6.395745
-224.154247,155,6.866331
-228.745785,206,7.302158
-274.106007,203,7.893847
-298.278687,360,8.815112
-283.981348,185,9.173221
-277.416777,191,9.825462
-276.826035,173,10.17324
-211.092565,157,10.507459
-253.581151,192,11.057836
-198.900758,400,12.176332
-250.090571,171,12.513858
-285.556327,218,13.091617
-243.328674,205,13.647084
-205.053633,243,14.036477
-186.312849,165,14.549341
-175.556094,244,15.12555
-439.445511,267,15.71447
-165.656733,143,16.018487
-455.13617,247,16.596593
-130.155855,144,16.903009
-145.716498,155,17.280639
-158.282496,135,17.576822
-149.373314,108,17.849597
-178.620312,242,18.424187
-120.10466,155,18.747828
-389.049486,309,19.381157
-253.438319,209,19.928821
-125.70885,125,20.22565
-137.277524,120,20.510591
-474.574226,352,21.445516
-127.976669,139,21.747291
-125.676575,138,22.055245
-136.009897,96,22.323415
-131.746995,92,22.40334
-126.62584,121,22.69624
-137.024253,101,22.97661
-231.17139,173,23.54182
-130.291387,99,23.638648
-121.5157,103,23.913821
-125.11131,125,24.206391
-132.316765,97,24.478275
-152.710455,133,24.784943
-129.176966,125,25.077145
-112.503226,119,25.364604
-129.880327,105,25.659896
-113.883985,103,26.026318
-131.264303,94,26.295982
-143.807592,123,26.640812
-109.195033,124,27.006013
-174.689596,134,27.477942
-107.757498,115,27.807337
-126.0515,111,28.102776
-151.169262,127,28.411823
-132.612615,123,28.714877
-106.334907,114,29.011151
-110.241016,117,29.303611
-105.429488,114,29.590091
-106.135607,117,29.690428
-138.935999,119,29.987089
-105.105166,113,30.276838
-113.083048,123,30.610571
-119.45706,117,31.03484
-185.486114,148,31.366262
-203.853993,149,31.704952
-127.69813,126,32.051872
-142.979592,139,32.607327
-121.108241,133,32.931764
-108.205878,139,33.265701
-158.472617,134,33.643239
-156.502378,141,34.007497
-112.237643,160,34.408601
-264.006405,190,34.966877
-293.332918,204,35.347383
-141.517618,323,36.211302
-191.98932,267,36.836024
-191.090957,243,37.598241
-153.092371,351,38.34623
-256.872457,305,39.198705
-52.468547,400,40.112859
-271.500092,207,40.475659
-119.704782,154,40.986216
-124.250826,168,41.320544
-227.435281,203,41.900319
-115.684347,154,42.253287
-188.561968,264,42.90275
-215.233823,263,43.574403
-160.083335,159,43.904044
-283.364133,217,44.478817
-152.662333,139,44.790643
-183.568408,146,45.10973
-246.341027,232,45.693454
-269.977065,264,46.308781
-241.649244,240,46.893233
-285.361266,296,47.640367
-313.85908,230,48.246857
-156.626601,253,48.86192
-195.666469,235,49.456736
-185.667655,250,50.079136
-198.918724,245,50.742753
-172.745284,233,51.9074
-150.257576,305,52.859707
-252.413233,229,53.435199
-276.765353,223,53.820319
-288.167614,213,54.439
-169.881228,335,55.303262
-160.458124,373,56.189255
-193.247112,250,56.590292
1.403209,400,57.703464
-137.142812,398,58.626623
-315.343858,236,59.212566
-188.059099,330,59.879586
-180.196836,378,60.835849
-112.560688,400,61.754825
-160.632445,262,62.371332
-236.254409,265,62.980588
-197.409649,264,63.590091
-389.693184,335,64.439963
-165.081527,316,65.081699
-234.215246,376,65.976559
-19.017491,400,67.089309
-266.649902,289,67.720688
-469.372501,349,68.602652
-159.989982,400,69.529224
-12.932398,400,70.444638
-184.283247,400,71.349822
-211.581179,368,72.254321
-220.786183,261,72.934212
-175.546258,400,73.849624
-162.62517,400,74.75737
-168.955817,254,75.404925
-173.009642,331,76.830763
-11.98418,400,77.741271
-50.511021,400,78.661228
-144.059531,268,79.264826
-20.203726,400,80.175822
-166.349142,396,81.093195
-74.090665,400,82.030767
-177.459455,272,82.643249
-27.572717,400,83.749465
-221.846632,400,84.655702
-191.633032,252,85.245171
-250.292296,362,86.126235
-4.663139,400,87.028134
-37.902535,400,87.946313
-40.477708,400,88.863398
-91.816032,400,89.773142
-48.795116,400,90.692244
-110.98338,400,91.619221
-83.691577,400,92.529456
-48.966342,400,93.718583
-63.285719,400,94.631872
-88.790691,400,95.554248
-23.766984,400,96.483047
-70.010485,400,97.392858
-7.261454,400,98.326745
-56.456064,400,99.238211
-32.863726,400,100.899736
-269.804447,391,101.795039
-76.942228,400,102.901913
-106.88397,400,103.831232
5.066951,400,104.757024
3.861681,400,105.684767
-4.535707,400,106.608316
-18.23743,400,107.514046
9.667343,400,108.436386
-55.383945,400,109.353318
-52.668266,400,110.464907
2.337079,400,111.385516
14.375587,400,112.353852
9.162641,400,113.265873
-43.100143,400,114.180646
-63.400837,400,115.100897
-50.897531,400,116.067902
7.491804,400,116.986013
27.811907,400,118.094352
16.738038,400,119.039135
33.648176,400,119.976059
7.91213,400,120.885678
1.950718,400,121.786673
-94.148323,400,122.693546
-29.282371,400,123.619435
-33.891621,400,125.302244
8.587248,400,126.400664
15.817773,400,127.317418
15.075416,400,128.248194
-77.495599,400,129.174054
24.889239,400,130.105715
-80.776236,400,131.009738
-40.485429,400,131.917186
26.684846,400,132.830382
-7.691838,400,133.94025
-4.637926,400,134.856557
-4.333289,400,135.785292
17.171223,400,136.694267
17.578524,400,137.657737
-57.409635,400,138.581383
23.806988,400,139.500046
-29.145709,400,140.413029
-18.495911,400,141.516817
41.571497,400,142.443125
39.931209,400,143.356477
20.243082,400,144.292264
37.291791,400,145.206936
-29.845327,400,146.118545
-81.065116,400,147.021553
-37.155306,400,147.927461
-20.850352,400,149.790591
-75.960012,400,150.703016
-5.731454,400,151.610369
56.05074,400,152.53563
-11.662318,400,153.451966
-49.635066,400,154.379025
535.335521,396,155.298561
563.114036,390,156.217229
569.006449,399,157.143943
557.330602,393,158.262878
558.580005,388,159.170824
55.756656,400,160.167953
10.478493,400,161.089343
-38.117546,400,162.019576
-34.128433,400,162.932047
1.686474,400,163.857535
50.080954,400,164.786869
-22.164121,400,165.700141
27.08335,400,166.86573
48.997347,400,167.79826
-46.311853,400,168.7268
-36.180649,400,169.641974
76.480427,400,170.566518
63.168189,400,171.479234
-6.17517,400,172.400618
