#{"t_start": 1746461822.537954, "env_id": "gymnasium_env/BallBeamWorld-v0"}
r,l,t
-211.767691,150,0.856408
-214.118548,157,1.197968
-203.398229,145,1.511646
-215.914142,208,2.081476
-219.46848,210,2.498234
-183.224698,135,2.810985
-210.497161,205,3.399562
-204.776475,201,4.126764
-197.340951,134,4.444014
-193.849061,136,4.765679
-235.816156,225,5.15782
-199.404567,135,5.466697
-199.004824,260,6.085092
-279.347321,236,6.672854
-197.66347,135,6.974492
-238.212755,179,7.509224
-237.940954,179,7.860092
-234.253464,152,8.199703
-247.410774,215,8.787592
-313.866986,279,9.438279
-258.28615,161,9.784584
-255.309727,209,10.351244
-239.325477,162,10.681496
-385.726509,256,11.292519
-198.12826,134,11.596554
-193.302528,156,12.131282
-193.885382,141,12.441794
-192.338626,138,12.761202
-507.475182,269,13.376099
-596.804584,295,14.022352
-187.019039,130,14.329916
-140.694905,185,14.873893
-165.449773,117,15.175526
-153.532161,114,15.270404
-152.205957,115,15.562794
-292.941793,278,16.37462
-149.552954,109,16.465894
-146.317878,133,16.777697
-144.877891,102,17.047738
-174.957207,169,17.646497
-152.929673,161,17.979044
-131.318665,129,18.281699
-131.145108,122,18.582183
-164.637046,158,18.914693
-167.208154,154,19.242553
-212.174509,170,19.774686
-123.143058,142,20.085237
-123.332585,139,20.404391
-137.70889,134,20.711144
-138.57943,98,20.98649
-137.324846,109,21.077973
-138.152964,97,21.35254
-139.043033,131,21.665064
-134.016456,141,21.973749
-253.872282,189,22.519796
-140.039353,131,22.826157
-144.752482,120,23.119045
-226.936515,171,23.462619
-345.56672,223,24.049189
-147.15202,144,24.371671
-126.351905,121,24.942697
-124.410286,123,25.251438
-129.736129,92,25.520529
-136.287649,100,25.605461
-165.15327,159,26.140137
-212.461852,164,26.476857
-215.243853,163,26.819723
-125.855908,131,27.137032
-133.947772,138,27.449646
-199.334822,156,27.785812
-127.007073,132,28.093288
-130.562895,95,28.367268
-131.859461,103,28.659004
-132.764476,114,28.951686
-128.930072,118,29.257356
-137.58057,132,29.575748
-139.334821,123,29.879878
-143.354921,117,30.185938
-134.366397,142,30.496567
-145.486272,144,30.822987
-142.714145,107,31.105602
-221.492892,175,31.454967
-142.949361,154,31.790827
-178.040537,172,32.327246
-149.861897,166,32.670061
-164.751681,143,32.991058
-172.644516,137,33.305043
-180.581688,133,33.61715
-178.766428,163,34.15751
-167.807189,132,34.468359
-166.978396,149,34.799233
-163.064496,119,35.101673
-155.227487,149,35.444633
-147.27682,157,35.77955
-157.612754,147,36.10807
-162.488597,121,36.406265
-156.456596,142,36.734974
